Use this ID  in table People and Organisations	sub-events share the same  name of the recurrent event	general association  (in context of, related to, part of)			Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Free text	Free text (include ISBN, DOI  or bibl. references)	free-text: sources  and links (private)	free-text: sources  and links (public)	any other note (private)
Event  ID	Event name	Related  event 	Event  Type	Periodicity	City	District	Country	From year	To year	From date	To date	Description	Notes on related works	Sources private	Sources public	Other notes
L3024	Hanna Abu Hanna participates in committee setting Arabic curiculum in Israel		Private meeting	One-Off	Haifa		Israel	1979	1979						أبو حنا، حنا. خميرة الرماد، ص.183-185	
L30	Theater performance of العين أم السن by مسرح الحكواتي		Theater performance	One-Off	London		United Kingdom	1986	1986			Theater performance of العين أم السن by مسرح الحكواتي			Asfar https://archive.alsharekh.org/Articles/249/18428/416233/2	
L31	Theater performance of العين أم السن by مسرح الحكواتي		Theater performance	One-Off	Paris		France	1986	1986			Theater performance of العين أم السن by مسرح الحكواتي			Asfar https://archive.alsharekh.org/Articles/249/18428/416233/2	
L1016	عيد الثورة		Commemoration	Annual	Tunis		Tunisia					Palestinian writers and those who support Palestine meet at the Tunisian cemetry of martyrs to commemorate this event.				
L1017	مؤتمر الأدباء الفلسطينيين		Conference	One-Off	Tunis		Tunisia	1987	1987							
L1018	Invitation to Bourguiba´s house		Private meeting	One-Off	Tunis		Tunisia					Palestinian writers were invited by president Habib Bourguiba.				
L1019	المكتب الدائم للاتحاد العام للأدباء والكتاب		Conference	One-Off	Tunis		Tunisia	2008	2008			During this meeting, the Palestinian Writers´ Union was represented by حمزة برقاوي.		Team Meeting Presentation 4th June 2020.		
L1020	Palestine Solidarity Event		Literary Activism	One-Off	Tunis		Tunisia			29/01/1983	29/01/1983	Book fair, poetry reading and demonstration in solidarity with Palestine that took place in حي الخضراء.		TM presentation April 8th 2020.	al-Tariq al-Jadid 29-01-1983.	
L1021	Honorary Event for محمود درويش		Public presentation	One-Off	Tunis		Tunisia			19/05/1984	19/05/1984	A honorary event for درويش, also attended by سعدي يوسف.		TM presentation April 8th 2020.	al-Tariq al-Jadid 19-05-1984.	
L4001	مؤتمر لمركز دراسات التراث والمجتمع		Conference	Annual	Ramallah		Palestine	2013		27/04/2013		The conference takes place annually in Ramallah to discuss cultural and social topics, and to shed light on Palestinian heratige.				
L4002	تكريم وزارة الثقافة الفلسطينية		Literary Activism	Annual	Al-Bira		Palestine	2016		27/03/2016		An annual event organized by the Ministry Of Culture to honor Palestinian intellectuals and authors				
L4003	جائزة غسان كنفاني للقصة القصيرة مؤسسة فلسطين الدولية للأبحاث والخدمات		Literary Prize	Annual	Amman		Jordan	2002				This award is granted annually for a literary genre determined by the Palestinian International Institute committee				
L4004	جائزة "الحريّة للأسرى" وزارة الثقافة الفلسطينية		Literary Prize	Annual	Ramallah		Palestine									
L4005	جائزة الملك فيصل العالمية لخدمة الإسلام		Literary Prize	Annual	Riyadh		Saudi Arabia									
L4006	مهرجان القراءة وزارة التربية والتعليم		Cultural Festival	Annual	Ramallah		Palestine									
L4007	مهرجان حكايا الأرض والماء		Cultural Festival	Annual	Jericho		Palestine									
L4008	مهرجان نوار نيسان		Cultural Festival	Annual	Ramallah		Palestine									
L4009	مهرجان حكايا		Cultural Festival	Annual	Amman		Jordan									
L4010	مهرجان عمّان عربيا		Cultural Festival	Annual	Amman		Jordan									
L4011	مهرجان ليالي المسرح الحر الدولي		Cultural Festival	Annual	Amman		Jordan									
L4012	Le festival DÉCOUVREZ-VOUS		Cultural Festival	Annual	Tournai		Belgium									
L4013	Festival Palabrages		Cultural Festival	Annual	Calvisson		France									
L4014	المهرجان الدولي مغرب الحكايات		Cultural Festival	Annual	Rabat		Morocco									
L4015	مهرجان التراث		Cultural Festival	Annual	Oran		Algeria									
L4016	المهرجان الدولي للحكاية		Cultural Festival	Annual	Beirut		Lebanon									
L4017	مهرجان وين ع رام الله		Cultural Festival	Annual	Ramallah		Palestine									
L4018	مهرجان أيام قرطاج المسرحية		Cultural Festival	Biennial	Tunis		Tunisia	1983								
