Person (use one the names used in table People, you  can repeat the person name in several rows)			The organisation to which the person  is related (if applicable)	This field is alternative to column D! e.g. magazine title		Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Only for  educational events	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
Person name @en	Person  name @ar	Event type	Organisation or POI	Work title	Occupation	City	District	Country	From year	To year	From date	To date	Student of	Sources public	Sources private	Other notes
	دانيال, هادي	Residence				Tunis			1982	1987						He was forced to leave Tunisia when Ben Ali came to power, accused of supporting the Tunisian opposition.
	دانيال, هادي	Residence				Tunis			1989							
	دانيال, هادي	Residence						Algeria	1988	1988						
	دانيال, هادي	Employment				Nicosia										
	بلاطة, كمال	Residence				Jerusalem		Palestine	1942	1960						
	بلاطة, كمال	Residence				Rome		Italy	1961	1967						
	بلاطة, كمال	Residence				Washington D.C.		United States	1968	1973						
	بلاطة, كمال	Residence				Beirut		Lebanon	1974	1979						
	بلاطة, كمال	Residence				Washington D.C.		United States	1980	1992						
	بلاطة, كمال	Residence						Morocco	1993	1996						
	بلاطة, كمال	Residence						France	1997	2011						
	بلاطة, كمال	Residence				Berlin		Germany	2012	2019						
	بلاطة, كمال	Education	مدرسة الفرير			Jerusalem		Palestine	1948	1954						
	بلاطة, كمال	Education	مدرسة سان جورج			Jerusalem		Palestine	1954	1960						
	بلاطة, كمال	Education	Academia di Bella Arti			Rome		Italy	1961	1965						
	بلاطة, كمال	Education	Corcoran School of the Arts and Design			Washington D.C.		United States	1968	1971						
	بلاطة, عيسى	Residence				Jerusalem		Palestine	1929	1959						
	بلاطة, عيسى	Residence				London		United Kingdom	1960	1968						
	بلاطة, عيسى	Residence				Hartford		United States	1969	1974						
	بلاطة, عيسى	Residence				Montreal		Canada	1975	2019						
	بلاطة, عيسى	Education	University of London			London		United Kingdom	1961	1968						
	بلاطة, عيسى	Employment	مدرسة سان جورج			Jerusalem		Palestine	1953	1960						
	بلاطة, عيسى	Employment	Hartford Theological Seminary			Hartford		United States	1968	1974						
	بلاطة, عيسى	Employment	McGill University			Montreal		Canada	1975	2004						
